study,yi,vi
Aronson 1948,-0.8893113339202054,0.3255847650039614
Ferguson & Simes 1949,-1.5853886572014306,0.19458112139814387
Rosenthal 1960,-1.348073148299693,0.41536796536796533
Hart & Sutherland 1977,-1.4415511900213054,0.020010031902247573
Frimodt-Moller 1973,-0.2175473222112957,0.05121017216963086
Stein & Aronson 1953,-0.786115585818864,0.0069056184559087574
Vandiviere 1973,-1.6208982235983924,0.22301724757231517
TPT Madras 1980,0.011952333523841173,0.00396157929781773
Coetzee & Berjak 1968,-0.4694176487381487,0.056434210463248966
Rosenthal 1961,-1.3713448034727846,0.07302479361302891
Comstock 1974,-0.33935882833839015,0.01241221397155972
Comstock & Webster 1969,0.4459134005713783,0.5325058452001528
Comstock 1976,-0.017313948216879493,0.0714046596839863
